"Rank","Player","Team","Bye","POS","AVG"
"1","Christian McCaffrey SF","","","RB1","1.0"
"2","CeeDee Lamb DAL","","","WR1","2.0"
"3","Tyreek Hill MIA","","","WR2","3.5"
"4","Justin Jefferson MIN","","","WR3","3.5"
"5","Ja'Marr Chase CIN","","","WR4","5.0"
"6","Breece Hall NYJ","","","RB2","6.0"
"7","Amon-Ra St. Brown DET","","","WR5","7.0"
"8","Bijan Robinson ATL","","","RB3","8.0"
"9","Puka Nacua LAR","","","WR6","9.0"
"10","A.J. Brown PHI","","","WR7","10.0"
"11","Jahmyr Gibbs DET","","","RB4","11.0"
"12","Garrett Wilson NYJ","","","WR8","12.0"
"13","Kyren Williams LAR","","","RB5","14.0"
"14","DJ Moore CHI","","","WR9","14.5"
"15","Nico Collins HOU","","","WR10","14.5"
"16","Jonathan Taylor IND","","","RB6","15.5"
"17","De'Von Achane MIA","","","RB7","18.0"
"18","Marvin Harrison Jr.","","","WR11","18.0"
"19","Davante Adams LV","","","WR12","18.5"
"20","Josh Allen BUF","","","QB1","21.0"
"21","Brandon Aiyuk SF","","","WR13","21.0"
"22","Rashee Rice KC","","","WR14","21.5"
"23","Chris Olave NO","","","WR15","23.0"
"24","Stefon Diggs HOU","","","WR16","24.0"
"25","Deebo Samuel SF","","","WR17","25.5"
"26","Tank Dell HOU","","","WR18","26.0"
"27","Saquon Barkley PHI","","","RB8","28.0"
"28","Michael Pittman Jr. IND","","","WR19","28.0"
"29","Mike Evans TB","","","WR20","28.5"
"30","Jaylen Waddle MIA","","","WR21","30.0"
"31","Sam LaPorta DET","","","TE1","32.5"
"32","DK Metcalf SEA","","","WR22","32.5"
"33","Drake London ATL","","","WR23","33.0"
"34","Malik Nabers","","","WR24","33.0"
"35","Keenan Allen CHI","","","WR25","34.5"
"36","Jalen Hurts PHI","","","QB2","35.5"
"37","Travis Etienne Jr. JAC","","","RB9","36.5"
"38","DeVonta Smith PHI","","","WR26","37.5"
"39","Cooper Kupp LAR","","","WR27","38.0"
"40","Travis Kelce KC","","","TE2","40.0"
"41","Tee Higgins CIN","","","WR28","41.5"
"42","Lamar Jackson BAL","","","QB3","42.5"
"43","Amari Cooper CLE","","","WR29","42.5"
"44","Zay Flowers BAL","","","WR30","45.5"
"45","Rome Odunze","","","WR31","46.0"
"46","James Cook BUF","","","RB10","46.0"
"47","Trey McBride ARI","","","TE3","48.0"
"48","Isiah Pacheco KC","","","RB11","48.5"
"49","Terry McLaurin WAS","","","WR32","50.0"
"50","Rachaad White TB","","","RB12","50.5"
"51","Patrick Mahomes II KC","","","QB4","51.0"
"52","Mark Andrews BAL","","","TE4","51.0"
"53","Jayden Reed GB","","","WR33","51.0"
"54","Calvin Ridley TEN","","","WR34","52.0"
"55","Jordan Addison MIN","","","WR35","55.0"
"56","Christian Kirk JAC","","","WR36","57.0"
"57","Anthony Richardson IND","","","QB5","58.0"
"58","Kenneth Walker III SEA","","","RB13","60.0"
"59","Dalton Kincaid BUF","","","TE5","60.5"
"60","C.J. Stroud HOU","","","QB6","61.5"
"61","Brian Thomas Jr.","","","WR37","62.0"
"62","George Pickens PIT","","","WR38","62.0"
"63","Derrick Henry BAL","","","RB14","64.0"
"64","Josh Jacobs GB","","","RB15","64.5"
"65","Jaxon Smith-Njigba SEA","","","WR39","64.5"
"66","Chris Godwin TB","","","WR40","65.0"
"67","DeAndre Hopkins TEN","","","WR41","65.5"
"68","Tyjae Spears TEN","","","RB16","65.5"
"69","Aaron Jones MIN","","","RB17","66.0"
"70","Alvin Kamara NO","","","RB18","70.5"
"71","George Kittle SF","","","TE6","71.0"
"72","Brock Bowers","","","TE7","72.5"
"73","David Montgomery DET","","","RB19","73.5"
"74","Joe Burrow CIN","","","QB7","74.0"
"75","Rhamondre Stevenson NE","","","RB20","75.5"
"76","Christian Watson GB","","","WR42","76.0"
"77","Evan Engram JAC","","","TE8","78.5"
"78","Dak Prescott DAL","","","QB8","81.0"
"79","Tony Pollard TEN","","","RB21","82.0"
"80","Kyle Pitts ATL","","","TE9","82.5"
"81","David Njoku CLE","","","TE10","83.0"
"82","James Conner ARI","","","RB22","83.0"
"83","Kyler Murray ARI","","","QB9","83.5"
"84","Troy Franklin","","","WR43","85.5"
"85","Najee Harris PIT","","","RB23","86.5"
"86","Jordan Love GB","","","QB10","87.5"
