1,2,3,4,5,6,7,8,9,10
1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
C. McCaffrey,C. Lamb,C. Lamb,C. Lamb,C. Lamb,T. Hill,C. McCaffrey,C. Lamb,J. Jefferson,C. Lamb
RB - SF,WR - DAL,WR - DAL,WR - DAL,WR - DAL,WR - MIA,RB - SF,WR - DAL,WR - MIN,WR - DAL
2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10
C. Olave,B. Aiyuk,D. Achane,D. Moore,C. Olave,C. Olave,S. Diggs,C. Olave,R. Rice,B. Aiyuk
WR - NO,WR - SF,RB - MIA,WR - CHI,WR - NO,WR - NO,WR - HOU,WR - NO,WR - KC,WR - SF
3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
B. Aiyuk,C. Olave,J. Waddle,J. Allen,D. Achane,D. Adams,D. Achane,D. Adams,D. Achane,C. Olave
WR - SF,WR - NO,WR - MIA,QB - BUF,RB - MIA,WR - LV,RB - MIA,WR - LV,RB - MIA,WR - NO
4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10
D. London,T. Higgins,C. Kupp,A. Cooper,D. Smith,K. Allen,K. Allen,C. Kupp,C. Kupp,R. White
WR - ATL,WR - CIN,WR - LAR,WR - CLE,WR - PHI,WR - CHI,WR - CHI,WR - LAR,WR - LAR,RB - TB
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
L. Jackson,D. Smith,M. Andrews,C. Kupp,R. White,R. White,D. Smith,R. White,R. White,T. Higgins
QB - BAL,WR - PHI,TE - BAL,WR - LAR,RB - TB,RB - TB,WR - PHI,RB - TB,RB - TB,WR - CIN
6.10,6.10,6.10,6.10,6.10,6.10,6.10,6.10,6.10,6.10
C. Ridley,D. Henry,T. McLaurin,A. Kamara,K. Walker,C. Stroud,A. Richardson,D. Kincaid,C. Godwin,C. Stroud
WR - TEN,RB - BAL,WR - WAS,RB - NO,RB - SEA,QB - HOU,QB - IND,TE - BUF,WR - TB,QB - HOU
7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
J. Addison,A. Richardson,J. Conner,C. Kirk,C. Godwin,C. Godwin,C. Ridley,J. Conner,C. Kirk,J. Jacobs
