Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PS,2PT,PPR,PosRank,OvRank
1,Derrick Henry,TEN,RB,26,16,16,0,0,0,0,0,378,2027,5.36,17,31,19,114,6,0,3,2,17,1,,333.1,1,1
2,Alvin Kamara,NOR,RB,25,15,10,0,0,0,0,0,187,932,4.98,16,107,83,756,9.11,5,1,0,21,,,377.8,2,2
3,Dalvin Cook,MIN,RB,25,14,14,0,0,0,0,0,312,1557,4.99,16,54,44,361,8.2,1,5,3,17,3,,337.8,3,3
4,Davante Adams,GNB,WR,28,14,14,0,0,0,0,0,0,0,,0,149,115,1374,11.95,18,1,1,18,,,358.4,1,4
5,Travis Kelce,KAN,TE,31,15,15,1,2,4,0,0,0,0,,0,145,105,1416,13.49,11,1,1,11,1,,312.8,1,5
6,Tyreek Hill,KAN,WR,26,15,15,0,0,0,0,0,13,123,9.46,2,135,87,1276,14.67,15,1,0,17,,,328.9,2,6
7,Josh Allen,BUF,QB,24,16,16,396,572,4544,37,10,102,421,4.13,8,1,1,12,12,1,9,6,9,,,396.1,1,7
8,Aaron Rodgers,GNB,QB,37,16,16,372,526,4299,48,5,38,149,3.92,3,1,1,-6,-6,0,4,2,3,,,383.3,2,8
9,Kyler Murray,ARI,QB,23,16,16,375,558,3971,26,12,133,819,6.16,11,0,0,0,,0,9,4,11,,,378.7,3,9
10,Patrick Mahomes,KAN,QB,25,15,15,390,588,4740,38,6,62,308,4.97,2,2,0,0,,0,5,2,2,,3,374.4,4,10
11,Deshaun Watson,HOU,QB,25,16,16,382,544,4823,33,7,90,444,4.93,3,0,0,0,,0,8,3,3,,1,369.3,5,11
12,Jonathan Taylor,IND,RB,21,15,13,0,0,0,0,0,232,1169,5.04,11,39,36,299,8.31,1,1,1,12,,,252.8,4,12
13,Aaron Jones,GNB,RB,26,14,14,0,0,0,0,0,201,1104,5.49,9,63,47,355,7.55,2,2,0,11,,,258.9,5,13
14,David Montgomery,CHI,RB,23,15,14,0,0,0,0,0,247,1070,4.33,8,68,54,438,8.11,2,1,1,10,1,,264.8,6,14
15,Darren Waller,LVR,TE,28,16,15,0,0,0,0,0,0,0,,0,145,107,1196,11.18,9,2,2,9,1,,278.6,2,15
16,Russell Wilson,SEA,QB,32,16,16,384,558,4212,40,13,83,513,6.18,2,0,0,0,,0,7,4,2,,1,359.8,6,16
17,Stefon Diggs,BUF,WR,27,16,15,0,0,0,0,0,1,1,1,0,166,127,1535,12.09,8,0,0,8,,,328.6,3,17
18,James Robinson,JAX,RB,22,14,14,0,0,0,0,0,240,1070,4.46,7,60,49,344,7.02,3,3,1,10,1,,250.4,7,18
19,Josh Jacobs,LVR,RB,22,15,15,0,0,0,0,0,273,1065,3.9,12,45,33,238,7.21,0,2,2,12,,,231.3,8,19
20,Calvin Ridley,ATL,WR,26,15,15,0,0,0,0,0,5,1,0.2,0,143,90,1374,15.27,9,1,1,9,1,,281.5,4,20
21,Nick Chubb,CLE,RB,25,12,12,0,0,0,0,0,190,1067,5.62,12,18,16,150,9.38,0,1,1,12,,,207.7,9,21
